id,authority,title,description,app_type,application_type,development_type,app_size,app_state,decision,start_date,decided_date,last_changed,address,postcode,lat,lng,link,status_class,site_area_ha
Knowsley/25/00552/FUL,Knowsley,ERECTION OF A TWO STOREY FRONT PORCH EXTENSION TOGETHER WITH THE INSTALLATION OF PV SOLAR PANELS.,ERECTION OF A TWO STOREY FRONT PORCH EXTENSION TOGETHER WITH THE INSTALLATION OF PV SOLAR PANELS.,Full,,,Small,Undecided,,2025-10-09,None,2025-10-14T08:08:53.217759,157 Sugar Lane Knowsley Knowsley L34 0EW,L34 0EW,,,https://www.planit.org.uk/planapplic/Knowsley/25/00552/FUL/,Pending,
Wokingham/252453,Wokingham,Prior approval submission for the proposed installation of 24 no. roof-mounted Photovoltaic panels.,Prior approval submission for the proposed installation of 24 no. roof-mounted Photovoltaic panels.,Outline,,,Small,Undecided,,2025-10-09,None,2025-10-14T08:41:14.887423,Five Guys Reading Road Winnersh Wokingham RG41 5HG,RG41 5HG,,,https://www.planit.org.uk/planapplic/Wokingham/252453/,Pending,1.0
EastRenfrewshire/2025/0603/TP,East Renfrewshire,Installation of solar panels on roof,Installation of solar panels on roof,Full,,,None,Undecided,,2025-10-09,None,2025-10-11T09:45:10.947773,1 Picketlaw Road Eaglesham East Renfrewshire G76 0BF,G76 0BF,,,https://www.planit.org.uk/planapplic/EastRenfrewshire/2025/0603/TP/,Pending,5.0
Dover/25/01115,Dover,"Erection of a 2-storey rear extension, rear dormer window, and solar panels to roof","Erection of a 2-storey rear extension, rear dormer window, and solar panels to roof",Full,,,Small,Undecided,,2025-10-09,None,2025-10-13T07:56:05.32421,104 Middle Street Deal CT14 6JW,CT14 6JW,,,https://www.planit.org.uk/planapplic/Dover/25/01115/,Pending,
EppingForest/EPF/2055/25,Epping Forest,"Approval of Details Reserved by Conditions 3 Materials, 4 Details of substation, 35 EVP, 36 BB and 40 Solar Panels of EPF/1769/24 (The er...","Approval of Details Reserved by Conditions 3 Materials, 4 Details of substation, 35 EVP, 36 BB and 40 Solar Panels of EPF/1769/24 (The erection of 42no residential dwellings together with highway, car parking and associated works).",Conditions,,,Large,Undecided,,2025-10-08,None,2025-10-11T09:56:34.262698,"Oak Hill Road, Stapleford Abbotts, RM4 1JL",RM4 1JL,,,https://www.planit.org.uk/planapplic/EppingForest/EPF/2055/25/,Pending,
Exeter/25/1399/DIS,Exeter,Discharge condition 5 (Hazel Dormouse Licence) of planning permission 23/1223/FUL - Relocation and replacement of existing surface carpar...,"Discharge condition 5 (Hazel Dormouse Licence) of planning permission 23/1223/FUL - Relocation and replacement of existing surface carpark to include solar charging canopies, landscaping enhancements to provide ancillary facilities to Oxygen House, including external pod meeting room, and provision of a solar photovoltaic array.",Conditions,,,Small,Undecided,,2025-10-08,None,2025-10-14T07:58:22.61399,Land To The South Of Oxygen House And North Of Emperor House Grenadier Road Exeter,None,,,https://www.planit.org.uk/planapplic/Exeter/25/1399/DIS/,Pending,
Haringey/HGY/2025/2632,Haringey,"Demolition of an existing conservatory and construction of a rear and side infill extension with angled roof, installation of Air Source ...","Demolition of an existing conservatory and construction of a rear and side infill extension with angled roof, installation of Air Source Heat Pump to the front of the property, two roof lights, amendments to boundary treatment, landscaping and solar panels to the rear roof slope.",Full,,,Small,Undecided,,2025-10-08,None,2025-10-14T08:02:15.295633,"67 Oakfield Road, Hornsey, London, N4 4LD",N4 4LD,,,https://www.planit.org.uk/planapplic/Haringey/HGY/2025/2632/,Pending,
SouthSomerset/25/02472/S73A,South Somerset,"S73A application to vary condition 1(approved plans) to install photovoltaic arrays on the carport roofs for all five plots, in relation ...","S73A application to vary condition 1(approved plans) to install photovoltaic arrays on the carport roofs for all five plots, in relation to approval 23/03167/S73 (variation to approval 22/00878/FUL for Demolition of agricultural barns (with Class Qb prior approval) and erection of 5 dwellings)",Amendment,,,Small,Undecided,,2025-10-08,None,2025-10-14T08:28:23.341617,Hill Farm Jarmany Hill Barton St David Somerton Somerset TA11 6DA,TA11 6DA,,,https://www.planit.org.uk/planapplic/SouthSomerset/25/02472/S73A/,Pending,
Dumfries/25/1849/ARC,Dumfries,"ERECTION OF DWELLINGHOUSE WITH ROOF MOUNTED SOLAR PANELS, INSTALLATION OF SEPTIC TANK, SOAKAWAY AND AN AIR SOURCE HEAT PUMP AND FORMATION...","ERECTION OF DWELLINGHOUSE WITH ROOF MOUNTED SOLAR PANELS, INSTALLATION OF SEPTIC TANK, SOAKAWAY AND AN AIR SOURCE HEAT PUMP AND FORMATION OF ACCESS (APPROVAL OF MATTERS SPECIFIED IN CONDITIONS 3 (LAYOUT), 4 (DESIGN), 5 (EXTERNAL APPEARANCE) AND 6 (LANDSCAPING) OF PLANNING PERMISSION IN PRINCIPLE 23/0691/PIP",Conditions,,,Small,Undecided,,2025-10-08,None,2025-10-11T09:33:29.843361,Land Adjacent To Heatherbank Conrig Place Crawick DG4 6ET,DG4 6ET,,,https://www.planit.org.uk/planapplic/Dumfries/25/1849/ARC/,Pending,
SouthTyneside/250635,South Tyneside,"Application to determine if prior approval is required for a proposed: Installation, Alteration or Replacement of other Solar Photovoltai...","Application to determine if prior approval is required for a proposed: Installation, Alteration or Replacement of other Solar Photovoltaics (PV) equipment on the Roofs of Non-domestic Buildings. The Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) - Schedule 2, Part 14, Class J",Outline,,,Small,Undecided,,2025-10-08,None,2025-10-14T08:29:18.701665,Westoe Crown Primary School Sea Winnings Way South Shields NE33 3NS,NE33 3NS,,,https://www.planit.org.uk/planapplic/SouthTyneside/250635/,Pending,
Peterborough/25/01289/PRIOR,Peterborough,Installation of flat roof mounted solar PV system,Installation of flat roof mounted solar PV system,Outline,,,Small,Undecided,,2025-10-08,None,2025-10-14T08:18:14.426996,Peterborough Regional College Park Crescent Peterborough PE1 4DZ,PE1 4DZ,,,https://www.planit.org.uk/planapplic/Peterborough/25/01289/PRIOR/,Pending,
IsleOfMan/25/90903/B,Isle of Man,Erection of ground mounted solar array,Erection of ground mounted solar array,Full,,,Small,Undecided,,2025-10-08,None,2025-10-14T08:07:10.608286,Duxbury House Wigan Lane Ballamodha Malew IM9 3EP,IM9 3EP,,,https://www.planit.org.uk/planapplic/IsleOfMan/25/90903/B/,Pending,
Greenwich/25/3352/F,Greenwich,Prior Approval is sought for Installation of a roof top solar array on the roofs of non-domestic buildings (use class B2) at Queen Elizab...,"Prior Approval is sought for Installation of a roof top solar array on the roofs of non-domestic buildings (use class B2) at Queen Elizabeth Hospital, Woolwich.",None,,,Small,Undecided,,2025-10-08,None,2025-10-14T08:00:50.858944,"QUEEN ELIZABETH HOSPITAL, STADIUM ROAD, LONDON, SE18 4QH",SE18 4QH,,,https://www.planit.org.uk/planapplic/Greenwich/25/3352/F/,Pending,
SouthTyneside/250634,South Tyneside,"Application to determine if prior approval is required for a proposed: Installation, Alteration or Replacement of other Solar Photovoltai...","Application to determine if prior approval is required for a proposed: Installation, Alteration or Replacement of other Solar Photovoltaics (PV) equipment on the Roofs of Non-domestic Buildings. The Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) - Schedule 2, Part 14, Class J",Outline,,,Small,Undecided,,2025-10-08,None,2025-10-14T08:29:18.70412,Hebburn Lakes Primary School Campbell Park Road Hebburn NE31 2SL,NE31 2SL,,,https://www.planit.org.uk/planapplic/SouthTyneside/250634/,Pending,
Chesterfield/CHE/25/00758/NMA,Chesterfield,Non material amendment to application CHE/24/00591/FUL (Development of 5 dwellings)- changes consist of In-Laid solar panel system added ...,Non material amendment to application CHE/24/00591/FUL (Development of 5 dwellings)- changes consist of In-Laid solar panel system added to North Elevation and patio doors amended from bi-fold to sliding type,Amendment,,,Small,Undecided,,2025-10-08,None,2025-10-14T07:48:28.050714,Land On Goytside Road Corner Factory Street Chesterfield Derbyshire S40 2BS,S40 2BS,,,https://www.planit.org.uk/planapplic/Chesterfield/CHE/25/00758/NMA/,Pending,
Kirklees/2025/92815,Kirklees,Prior approval for installation of solar photovoltaic (PV) panels and associated works,Prior approval for installation of solar photovoltaic (PV) panels and associated works,Outline,,,Small,None,,2025-10-08,None,2025-10-14T08:08:49.209298,"Huddersfield Audi, Trident Business Park, Leeds Road, Deighton, Huddersfield, HD2 1UA",HD2 1UA,,,https://www.planit.org.uk/planapplic/Kirklees/2025/92815/,Pending,
Bristol/25/14432/K,Bristol,"Construction of a temporary solar farm, to include the installation of solar photovoltaic panels to generate electricity, with ancillary ...","Construction of a temporary solar farm, to include the installation of solar photovoltaic panels to generate electricity, with ancillary substations, inverters, perimeter stock fencing, landscaping and other associated works.",None,,,Small,Undecided,,2025-10-07,None,2025-10-14T07:39:02.808512,Parcel 3470 East Dundry Lane Norton Hawkfield,None,,,https://www.planit.org.uk/planapplic/Bristol/25/14432/K/,Pending,
BCP/P/25/04019/HOU,BCP,"Erection of part two-storey rear extension with hipped roof and part single-storey rear extension with pitched roof, installation of roof...","Erection of part two-storey rear extension with hipped roof and part single-storey rear extension with pitched roof, installation of roof-mounted solar PV panels, and associated landscaping",Full,,,Small,Undecided,,2025-10-07,None,2025-10-14T07:33:37.302922,10 Wetherby Close Poole BH18 8JB,BH18 8JB,,,https://www.planit.org.uk/planapplic/BCP/P/25/04019/HOU/,Pending,3.0
Bromley/25/04681/HPA,Bromley,"Upgrading of external thermal envelope with addition of solar panels to front and rear elevations, elevational alterations to include ins...","Upgrading of external thermal envelope with addition of solar panels to front and rear elevations, elevational alterations to include insulation and rendering, window alterations, cills lowered on 2 x rear windows and new second door entrance on side elevation. Internal alterations, to provide at: Ground floor- Dining/Living/Kitchen, Boot room with 2nd entrance and sitting room/home office. First floor – Master bedroom with ensuite, 3 bedrooms one with ensuite and family bathroom.",Full,,,Small,Undecided,,2025-10-07,None,2025-10-14T07:39:48.3468,"8 DOWNS VIEW CLOSE, ORPINGTON, BR6 7SU",BR6 7SU,,,https://www.planit.org.uk/planapplic/Bromley/25/04681/HPA/,Pending,
TauntonDeane/17/25/0006,Taunton Deane,"Conversion of loft into ancillary accommodation, erection of projecting gables to the front, formation of 1 No. dormer window to the rear...","Conversion of loft into ancillary accommodation, erection of projecting gables to the front, formation of 1 No. dormer window to the rear and installation of solar panels on the roof of Crooks Orchard, Fitzhead Road, Fitzhead",Full,,,Small,Undecided,,2025-10-07,None,2025-10-14T08:32:36.827995,"Crooks Orchard, Fitzhead Road, Fitzhead",None,,,https://www.planit.org.uk/planapplic/TauntonDeane/17/25/0006/,Pending,
WestOxfordshire/25/02335/CLP,West Oxfordshire,Certificate of Lawfulness (Installation of ground mounted solar panels in rear garden).,Certificate of Lawfulness (Installation of ground mounted solar panels in rear garden).,Outline,,,Small,Undecided,,2025-10-07,None,2025-10-14T08:39:28.405111,Lovegrove Upper Milton Milton Under Wychwood Chipping Norton Oxfordshire OX7 6EX,OX7 6EX,,,https://www.planit.org.uk/planapplic/WestOxfordshire/25/02335/CLP/,Pending,114.0
Dacorum/25/02490/OTD,Dacorum,Installation of a rooftop mounted solar panels.,Installation of a rooftop mounted solar panels.,Outline,,,Small,Undecided,,2025-10-07,None,2025-10-14T07:53:16.35104,Berkhamsted Bowls Club Lower Kings Road Berkhamsted Hertfordshire HP4 2AL,HP4 2AL,,,https://www.planit.org.uk/planapplic/Dacorum/25/02490/OTD/,Pending,4.0
Cotswold/25/03157/FUL,Cotswold,"Installation of swimming pool with stone copings and oak decking, solar panels with battery on approved ancillary accommodation (23/01291...","Installation of swimming pool with stone copings and oak decking, solar panels with battery on approved ancillary accommodation (23/01291/FUL), and conservation-style rooflight to flat roof of Old Swan House",Full,,,Small,Undecided,,2025-10-07,None,2025-10-14T07:51:49.213811,Old Swan House Great Rissington Cheltenham Gloucestershire GL54 2LH,GL54 2LH,,,https://www.planit.org.uk/planapplic/Cotswold/25/03157/FUL/,Pending,54.0
Reading/PL/25/1434,Reading,Application to determine if prior approval is required for a proposed installation of Solar Photovoltaics (PV) equipment on the north (52...,"Application to determine if prior approval is required for a proposed installation of Solar Photovoltaics (PV) equipment on the north (52 panels), south (52 panels) and west (28 panels) rooftops of Domain, Tilling Courtyard, Weldale Street, as per The Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) - Schedule 2, Part 14, Class A.",Outline,,,Small,Undecided,,2025-10-07,None,2025-10-14T08:18:46.739964,"Domain Rental Apartment, Phase 1, Tilling Courtyard, Weldale Street, Reading, RG1 7BZ",RG1 7BZ,,,https://www.planit.org.uk/planapplic/Reading/PL/25/1434/,Pending,
Hartlepool/P/2025/0026,Hartlepool,Prior notification for the installation of roof mounted solar panels,Prior notification for the installation of roof mounted solar panels,Outline,,,Small,Undecided,PENDING,2025-10-07,None,2025-10-14T08:03:13.475003,ST HILDS C OF E SCHOOL KING OSWY DRIVE HARTLEPOOL TS24 9PB,TS24 9PB,,,https://www.planit.org.uk/planapplic/Hartlepool/P/2025/0026/,Pending,2.0
Peterborough/25/01266/FUL,Peterborough,Construction and operation of an energy storage system (ESS) (battery box),Construction and operation of an energy storage system (ESS) (battery box),Full,,,Small,Undecided,,2025-10-07,None,2025-10-14T08:18:14.352293,Verge At Rightwell West Bretton Peterborough PE3 8DE,PE3 8DE,,,https://www.planit.org.uk/planapplic/Peterborough/25/01266/FUL/,Pending,
Lancaster/25/01085/FUL,Lancaster,"Installation of an oriel window to the side elevation, alterations to the windows and doors, re-roof including installation of rooflights...","Installation of an oriel window to the side elevation, alterations to the windows and doors, re-roof including installation of rooflights to the front and rear elevations and installation of solar panels to the rear elevation and re-rendering of property",Full,,,Small,Undecided,,2025-10-07,None,2025-10-10T08:10:04.8938,1 Beechfield Westbourne Road Lancaster Lancashire LA1 5LH,LA1 5LH,,,https://www.planit.org.uk/planapplic/Lancaster/25/01085/FUL/,Pending,
SouthGloucestershire/P25/02316/HH,South Gloucestershire,Erection of single storey side/ front extension to existing garage and partial conversion to form additional living accommodation. Instal...,Erection of single storey side/ front extension to existing garage and partial conversion to form additional living accommodation. Installation of new windows throughout. Installation of 1.no flue. Including the installation of solar panels.,Full,,,Small,Undecided,,2025-10-07,None,2025-10-14T08:26:59.204637,Longfield House Hawkesbury Grange France Lane Hawkesbury Upton South Gloucestershire GL9 1EF,GL9 1EF,,,https://www.planit.org.uk/planapplic/SouthGloucestershire/P25/02316/HH/,Pending,
BCP/P/25/04024/CONDR,BCP,"Variation of condition 1 of planning application P/25/00900/HOU TO vary plans to omit some of the rooflights, add solar panels, and add a...","Variation of condition 1 of planning application P/25/00900/HOU TO vary plans to omit some of the rooflights, add solar panels, and add an air conditioning unit West Elevation(rear) extension, internal reconfiguration. Reinstate of existing double Garage door. Retaining permission for Existing East First Floor extension which includes demolition of the existing conservatory.",Conditions,,,Small,Undecided,,2025-10-07,None,2025-10-14T07:33:37.325448,167C Mudeford Christchurch BH23 4AG,BH23 4AG,,,https://www.planit.org.uk/planapplic/BCP/P/25/04024/CONDR/,Pending,
Wandsworth/2025/3570,Wandsworth,Determination as to whether prior approval is required for installation of photovoltaics equipment.,Determination as to whether prior approval is required for installation of photovoltaics equipment.,Outline,,,Small,Undecided,,2025-10-07,None,2025-10-14T08:36:48.297136,14 Endlesham Road SW12 8JU,SW12 8JU,,,https://www.planit.org.uk/planapplic/Wandsworth/2025/3570/,Pending,
Cotswold/25/03158/LBC,Cotswold,"Installation of swimming pool with stone copings and oak decking, solar panels with battery on approved ancillary accommodation (23/01291...","Installation of swimming pool with stone copings and oak decking, solar panels with battery on approved ancillary accommodation (23/01291/FUL), and conservation-style rooflight to flat roof of Old Swan House",Heritage,,,Small,Undecided,,2025-10-07,None,2025-10-14T07:51:49.211303,Old Swan House Great Rissington Cheltenham Gloucestershire GL54 2LH,GL54 2LH,,,https://www.planit.org.uk/planapplic/Cotswold/25/03158/LBC/,Pending,54.0
Liverpool/25F/2658,Liverpool,"To vary condition 2 attached to planning appeal ref 24F/3177 (To erect two storey dwelling with 4 no. solar panels, air source heat pump ...","To vary condition 2 attached to planning appeal ref 24F/3177 (To erect two storey dwelling with 4 no. solar panels, air source heat pump and carry out associated landscaping works following demolition of existing garage) so as to make amendments to the approved drawings.",Full,,,None,None,,2025-10-06,None,2025-10-09T08:12:58.860722,"72 Kings Drive, Liverpool, L25 8RH",L25 8RH,,,https://www.planit.org.uk/planapplic/Liverpool/25F/2658/,Pending,
Epsom/25/01117/FUL,Epsom and Ewell,Construction of a two storey residential dwelling house in the garden of 452 Chessington Road with existing garage and off-street parking...,Construction of a two storey residential dwelling house in the garden of 452 Chessington Road with existing garage and off-street parking serving the new property. Hard and soft landscaping with boundary fencing and associated works incorporating solar panels to the roof slope. Formation of a new vehicular cross-over including dropped kerb to access new permeable surface driveway to the existing dwelling.,Full,,,Small,Undecided,,2025-10-06,None,2025-10-14T07:58:07.183267,452 Chessington Road West Ewell Surrey KT19 9ES,KT19 9ES,,,https://www.planit.org.uk/planapplic/Epsom/25/01117/FUL/,Pending,
Coventry/PL/2025/0001922/FULM,Coventry,"Solar farm development including solar arrays, control buildings and associated infrastructure, internal access roads, landscaping and as...","Solar farm development including solar arrays, control buildings and associated infrastructure, internal access roads, landscaping and associated development",Full,,,Medium,None,,2025-10-06,None,2025-10-08T07:52:54.172398,"Land South East Of Shilton Lane And South And South East Of Lentons Lane, Coventry,",None,,,https://www.planit.org.uk/planapplic/Coventry/PL/2025/0001922/FULM/,Pending,
Swindon/S/PSOLP/25/1263,Swindon,Prior Approval Notification for the installation of roof mounted Solar PV.,Prior Approval Notification for the installation of roof mounted Solar PV.,Outline,,,Small,Undecided,,2025-10-06,None,2025-10-14T08:32:16.390253,Oliver Tomkins Ce Junior School Beaumaris Road Toothill Swindon SN5 8LW,SN5 8LW,,,https://www.planit.org.uk/planapplic/Swindon/S/PSOLP/25/1263/,Pending,
PembrokeCoast/NP/25/0572/FUL,Pembroke Coast,"Construction of biomass boiler plant and installation of 16 rows of solar panels to the south. Removal of two tennis courts, two polytunn...","Construction of biomass boiler plant and installation of 16 rows of solar panels to the south. Removal of two tennis courts, two polytunnels, two sheds and relocation of container",Full,,,Small,Undecided,,2025-10-06,None,2025-10-14T08:17:52.611245,"Tennis Courts, St Brides Castle, St Brides, Haverfordwest, Pembrokeshire, SA62 3AL",SA62 3AL,,,https://www.planit.org.uk/planapplic/PembrokeCoast/NP/25/0572/FUL/,Pending,
Ashford/PA/2025/1848,Ashford,Listed Building Consent for the installation of electric vehicle charging points and PV battery storage,Listed Building Consent for the installation of electric vehicle charging points and PV battery storage,Heritage,,,Small,Undecided,,2025-10-06,None,2025-10-14T07:31:32.381677,"Court Lodge, The Street, Brabourne, Ashford, TN25 5LR",TN25 5LR,,,https://www.planit.org.uk/planapplic/Ashford/PA/2025/1848/,Pending,
Arun/WA/83/25/HH,Arun,"Roof extension to facilitate creation of new habitable first floor, single storey front porch, side and rear extensions, and installation...","Roof extension to facilitate creation of new habitable first floor, single storey front porch, side and rear extensions, and installation of solar panels, following demolition of existing detached garage.",Full,,,Small,Undecided,,2025-10-06,None,2025-10-14T07:31:16.657748,Pantiles West Walberton Lane Walberton BN18 0QS,BN18 0QS,,,https://www.planit.org.uk/planapplic/Arun/WA/83/25/HH/,Pending,
WestBerkshire/25/02289/NONMAT,West Berkshire,Non-Material Amendment to planning permission 25/01055/HOUSE: Erection of single storey rear extension with rooflight; Erection of single...,Non-Material Amendment to planning permission 25/01055/HOUSE: Erection of single storey rear extension with rooflight; Erection of single storey front porch; Installation of render and composite cladding over existing brick facade; Replacement of existing roof tiles with composite tiles; Installation of solar panels on roof; Replacement of existing fenestration; Installation of Air Source Heat Pump. Amendment: Change to shape/size of approved rear extension,Amendment,,,Small,Undecided,,2025-10-06,None,2025-10-10T08:50:30.511459,1 Penrose Close Newbury RG14 1PX,RG14 1PX,,,https://www.planit.org.uk/planapplic/WestBerkshire/25/02289/NONMAT/,Pending,13.0
Brighton/BH2025/02462,Brighton,"Internal layout alterations to facilitate use of building for as two office units (E) across lower ground and ground floor levels, and 6n...","Internal layout alterations to facilitate use of building for as two office units (E) across lower ground and ground floor levels, and 6no one-bedroom dwellings, 1no two-bedroom dwelling and 1no three-bedroom dwelling (C3) on the first, second, third, fourth and fifth floors. External alterations including repair and refurbishment works to front and rear façades and fenestration, and installation of rooftop solar P/V arrays.",Heritage,,,Small,Undecided,,2025-10-06,None,2025-10-14T07:38:34.964279,21 - 22 Old Steine Brighton BN1 1EL,BN1 1EL,,,https://www.planit.org.uk/planapplic/Brighton/BH2025/02462/,Pending,
MidSussex/DM/25/2509,Mid Sussex,Proposed rear extension loft conversion with insertion of velux windows . New side facing window and solar panels.,Proposed rear extension loft conversion with insertion of velux windows . New side facing window and solar panels.,Full,,,Small,Undecided,,2025-10-06,None,2025-10-13T08:17:57.507157,203 Junction Road Burgess Hill West Sussex RH15 0NX,RH15 0NX,,,https://www.planit.org.uk/planapplic/MidSussex/DM/25/2509/,Pending,
IOW/25/01469/HOU,Isle of Wight,Demolition of sun room; proposed single storey side/rear extension; new porch; roof mounted solar panels; alterations,Demolition of sun room; proposed single storey side/rear extension; new porch; roof mounted solar panels; alterations,Full,,,Small,Undecided,,2025-10-06,None,2025-10-14T08:06:53.860248,15 Verlands Close Niton Ventnor Isle Of Wight PO38 2BG,PO38 2BG,,,https://www.planit.org.uk/planapplic/IOW/25/01469/HOU/,Pending,
EastLindsey/03392/25/FUL,East Lindsey,Planning Permission - Installation of ground mounted free standing solar array.,Planning Permission - Installation of ground mounted free standing solar array.,Full,,,Small,Undecided,,2025-10-06,None,2025-10-14T07:56:26.180302,The Old Vicarage Dalby Road Skendleby Lincolnshire PE23 4QA,PE23 4QA,,,https://www.planit.org.uk/planapplic/EastLindsey/03392/25/FUL/,Pending,4.0
TestValley/25/02358/FULLN,Test Valley,"Remove conservatory, erect rear extension, roof replacement to dwelling and garage, alterations to fenestration, install additional roofl...","Remove conservatory, erect rear extension, roof replacement to dwelling and garage, alterations to fenestration, install additional rooflights and solar panels",Full,,,Small,Undecided,,2025-10-06,None,2025-10-08T08:36:56.231115,Highfield Old London Road Stockbridge Hampshire SO20 6EJ,SO20 6EJ,,,https://www.planit.org.uk/planapplic/TestValley/25/02358/FULLN/,Pending,
